store_id,item_id,isAvailable,price_min,price_max,price_default,avg_calories
3583,item_65911,True,769,968,769,550.0
3583,item_65901,True,769,968,769,410.0
3583,item_65903,True,769,968,769,410.0
3583,item_76856,True,669,888,669,370.0
3583,item_76855,True,399,399,399,160.0
3583,item_65919,True,889,1088,889,720.0
3583,item_65917,True,889,1088,889,590.0
3583,item_76858,True,499,499,499,0.0
3583,item_65886,True,769,988,769,510.0
3583,item_65881,True,769,988,769,370.0
3583,item_65884,True,769,988,769,370.0
3583,item_76857,True,669,888,669,330.0
3583,item_76859,True,349,349,349,350.0
3583,item_76599,True,309,309,309,290.0
3583,item_71599,True,989,1258,989,670.0
3583,item_541,True,419,419,419,300.0
3583,item_688,True,419,419,419,280.0
3583,item_69961,True,419,419,419,320.0
3583,item_43086,True,419,419,419,240.0
3583,item_43091,True,419,419,419,0.0
3583,item_43111,True,409,409,409,0.0
3583,item_781,True,769,769,769,560.0
3583,item_767,True,769,769,769,590.0
3583,item_9923,True,769,769,769,640.0
3583,item_22789,True,769,769,769,670.0
3583,item_43101,True,419,419,419,240.0
3583,item_43096,True,419,419,419,230.0
3583,item_594,True,299,299,299,130.0
3583,item_591,True,299,299,299,130.0
3583,item_113,True,359,359,359,0.0
3583,item_880,True,419,419,419,120.0
3583,item_885,True,419,419,419,0.0
3583,item_69527,True,419,419,419,200.0
3583,item_43121,True,419,419,419,260.0
3583,item_43156,True,419,419,419,280.0
3583,item_43151,True,419,419,419,240.0
3583,4bdf63d3-f30a-42fe-8029-3bd801fb3293,True,1489,1839,1489,1305.0
3583,item_540,True,469,469,469,370.0
3583,item_687,True,469,469,469,360.0
3583,item_69963,True,469,469,469,380.0
3583,item_43087,True,469,469,469,350.0
3583,item_43092,True,469,469,469,0.0
3583,item_43112,True,459,459,459,0.0
3583,item_43102,True,469,469,469,350.0
3583,item_43097,True,469,469,469,330.0
3583,item_592,True,299,299,299,160.0
3583,item_590,True,299,299,299,160.0
3583,item_879,True,469,469,469,160.0
3583,item_884,True,469,469,469,0.0
3583,item_69528,True,469,469,469,260.0
3583,item_43122,True,469,469,469,380.0
3583,item_43157,True,469,469,469,410.0
3583,item_43152,True,469,469,469,350.0
3583,6760a75f-bf87-4ad1-9982-02bd99761325,True,1559,1859,1559,1375.0
3583,item_539,True,549,549,549,440.0
3583,item_686,True,549,549,549,520.0
3583,item_69969,True,549,549,549,510.0
3583,item_43088,True,549,549,549,460.0
3583,item_43093,True,549,549,549,0.0
3583,item_43113,True,539,539,539,0.0
3583,item_43103,True,549,549,549,450.0
3583,item_43098,True,549,549,549,440.0
3583,item_593,True,429,429,429,230.0
3583,item_589,True,429,429,429,230.0
3583,item_878,True,549,549,549,240.0
3583,item_883,True,549,549,549,0.0
3583,item_69529,True,549,549,549,380.0
3583,item_43123,True,549,549,549,500.0
3583,item_43158,True,549,549,549,530.0
3583,item_43153,True,549,549,549,460.0
3583,bad82e06-8b3e-47ec-83af-2b54fffb5185,True,1589,1809,1589,1485.0
3583,5babb6ab-3b4c-4e19-b9ba-c5384ef1e776,True,1489,1859,1559,1405.0
3583,item_71600,True,1239,1508,1239,920.0
3583,bbdd6a8d-4bbc-4f0d-bbe1-f28aa9dd534f,True,1739,2089,1739,1555.0
3583,adb261e7-3d32-4761-92e4-e52b09420a18,True,1809,2109,1809,1625.0
3583,32321dbf-ac8a-4def-9865-6e0aa512bb08,True,1839,2059,1839,1735.0
3583,d643ea67-5b49-4a91-997e-10b3a3b72c86,True,1739,2109,1809,1655.0
3583,item_27732,True,1349,1779,1349,1200.0
3583,combo_5831,True,1849,2214,1849,1835.0
3583,combo_5832,True,1919,2234,1919,1905.0
3583,combo_5833,True,1949,2184,1949,2015.0
3583,f5f2895f-98b5-46b6-803a-069ed4a2c8ae,True,1849,2234,1919,1935.0
3583,item_44985,True,1169,1738,1169,630.0
3583,e1MdhGjf4g8InloBLqAkGl,True,1669,2019,1669,1265.0
3583,de48e390-a063-4f4f-80f2-2c5e2a6bfdb3,True,1739,2039,1739,1335.0
3583,8mS81phkmK9dMN1H3NUU4V,True,1769,1989,1769,1445.0
3583,692c9a39-e4e1-4faf-b784-dcf2c8e64cf6,True,1669,2039,1739,1365.0
3583,item_62239,True,1049,1169,1049,600.0
3583,73d5c647-33b1-43c0-ab89-0bef9832e343,True,1549,1899,1549,1235.0
3583,58ef72ae-19ad-490a-8868-29a9268d9a4c,True,1619,1919,1619,1305.0
3583,a338fbfd-bdb1-4a0d-8e6f-8a0914772716,True,1649,1869,1649,1415.0
3583,7181f4c3-10a7-4bd2-9762-66380798f235,True,1549,1919,1619,1335.0
3583,item_62238,True,1049,1169,1049,760.0
3583,0e74ea91-6f56-443a-8792-55fa7157bfdf,True,1549,1899,1549,1395.0
3583,cf3fcd04-9cf5-4d33-8f5a-d7b612b9f28c,True,1619,1919,1619,1465.0
3583,c03a7b65-1799-4c5f-af15-d7abc8c3259e,True,1649,1869,1649,1575.0
3583,b955a108-ecfd-4a4a-9b91-0280f313bad5,True,1549,1919,1619,1495.0
3583,item_698,True,1029,1218,1029,680.0
3583,combo_5837,True,1529,2028,1529,1315.0
3583,combo_5838,True,1599,2048,1599,1385.0
3583,combo_5839,True,1629,1998,1629,1495.0
3583,a29fc73b-d16d-46b5-9dc6-635dba4fb058,True,1529,2048,1599,1415.0
3583,item_71602,True,569,899,569,330.0
3583,0bbbe8a0-8ad7-4207-b425-83db103e1ec8,True,1069,1419,1069,965.0
3583,64747d4c-004f-409a-b972-b34619723894,True,1139,1439,1139,1035.0
3583,8324d5f2-2d22-407f-b8aa-b03980d98f9f,True,1169,1389,1169,1145.0
3583,88232b37-964e-4059-9360-8ace921ec69a,True,1069,1439,1139,1065.0
3583,item_25,True,709,989,709,440.0
3583,combo_5867,True,1209,1559,1209,1075.0
3583,combo_5868,True,1279,1579,1279,1145.0
3583,combo_5869,True,1309,1529,1309,1255.0
3583,c9f59913-cbea-4086-bc7f-c6fc43843934,True,1209,1579,1279,1175.0
3583,item_326,True,609,889,609,400.0
3583,20bd7c75-3749-499e-a39e-14fe2d45ef3e,True,1109,1459,1109,1035.0
3583,3ccfe758-4bdb-4035-8c99-63ae015d0328,True,1179,1479,1179,1105.0
3583,2efd6dbf-598d-45d7-9915-36ab69f11900,True,1209,1429,1209,1215.0
3583,f1a09073-fe0b-4fca-a386-0916d2bcda36,True,1109,1479,1179,1135.0
3583,item_51774,True,399,529,399,290.0
3583,item_49446,True,139,139,139,35.0
3583,item_43084,True,139,139,139,150.0
3583,item_43089,True,139,139,139,0.0
3583,item_43109,True,139,139,139,0.0
3583,item_43094,True,139,139,139,140.0
3583,item_43099,True,139,139,139,140.0
3583,item_877,True,139,139,139,90.0
3583,item_10563,True,100,100,100,0.0
3583,111e9584-86cf-4fe6-9448-b3d952a6acdd,True,709,929,709,638.5
