item_id,name,image_url,calories,fat,saturatedFat,transFat,cholesterol,sodium,carbohydrates,fiber,sugar,proteins,is_dummy
2a68de5d-1109-43e0-aeef-a4c9ed2fef89,Cheeseburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/7fa2949dd40c2c22d0b6d194e5cbb26d733993f9-1333x1333.png,236.79,9.39,4,0,30,278.86,27.37,0.83,5.02,12.85,False
WyAujkDbyd7SS90d4E3orz,Value Unsweetened Iced Tea,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/5f7a9dc64c5be2b8ca4b25fe6956a6b54f62de9f-1333x1333.png,0,0,0,0,0,0,0,0,0,0,False
74d1cba3-1b60-49af-9759-86e7dbdc113a,Value Diet Coke,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/63852aa0afcfb46f6acd0a3566e5df85e15aa101-1333x1333.png,0,0,0,0,0,50,0,0,0,0,False
5b77f639-f2e3-457b-9817-d69434f850ab,Small Hash Browns,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/540427bf11f1f1227b233461e5a21d87f3d67f84-1333x1333.png,290,19,3.5,0,0,840,29,2,0,2,False
b96b8372-39b2-4dab-8760-1a0886ca3e15,Honey Mustard Royal Crispy Wrap,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/ce4df2c0144c01bbcdbfd1fc3eff90112285ab07-1333x1333.png,226.067,8.977,2,0,30,658.077,25.18,3.712,0.48,14.79,False
kmSrSXZ6YFjFNmEEqhtzlp,Small Frozen Coke®,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/903f911db73f226f1d66caee358cfd93aeb1d603-1333x1333.png,130,0,0,0,0,50,35,0,35,0,False
d7dec224-f2d9-4cc2-8d98-b57419652c28,Triple Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/09c8dac9db5fc5497a13bbf38dd03e089a64a8fa-1333x1333.png,985.215,60.705,24,1.5,220,713.475,48.92,1.975,8.63,71.5,False
187fc2f5-a48d-4dbe-982b-a5e9a1f53065,Small Minute Maid® Lemonade,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/7bef6b899d0ce33217c6447cf9a648f7ea280a1e-1333x1333.png,200,0,0,0,0,50,54,0,54,0,False
223d1412-01ee-48c6-b78f-7d9b7b65ad78,16 Pc. Chicken Nuggets,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/7ce08ea5901b04068d40e9d7d75a5709a6050364-1333x1333.png,770,49,10,0,110,1980,45,3,0,37,False
33d09df7-b3a5-4bcc-a1e4-ada48aa326c8,Double Cheeseburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/ec3374f3e3ae162fabaf73a299b4d3042269ed6a-1333x1333.png,76.79,-3.11,-3,0,-15,18.86,27.37,0.83,5.02,0.85,False
8187fc83-2448-4a25-894e-569cff95df1d,Royal Crispy Wrap,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/555c2bbbb98d067a6b3b57d5ce9f219b29cffd97-1333x1333.png,156.067,0.977,0.5,0,25,548.077,26.18,3.712,1.48,14.79,False
picker_5537,Big Fish,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/f72d7d99889ceeb6bf08dd86703fd1903193a7a7-1333x1333.png,397.41,12.97,2,0,30,906.99,54.5,2.77,5.76,18.84,False
0af93ec5-36a9-4af3-a1ac-2b79fad2500e,Small Frozen Fanta® Blue Raspberry,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/251c0b0c3e6b3efed4642d52a0707dc4ef18ad14-1333x1333.png,130,0,0,0,0,60,34,0,34,0,False
3a09f5d2-f7b5-4bc4-b6e4-72f04ef4b10f,Double Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/7acdb672ff1cf9256583e63571af8edef44f4e6d-1333x1333.png,738.515,40.705,17,0.5,135,653.475,47.91,2.305,8.96,51.5,False
lXyLHRfR3ruSxzsSyarNDE,Value Sweetened Iced Tea,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/5f7a9dc64c5be2b8ca4b25fe6956a6b54f62de9f-1333x1333.png,90,0,0,0,0,0,25,0,25,0,False
d7717848-6427-49fb-867a-4b3c547d42ea,Value Onion Rings,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/b67123df53f9f667ea5c8247cace1d3eec19a164-1333x1333.png,200,9,1.5,0,0,370,27,3,3,3,False
bdef9cbf-2a12-49df-ab51-b5527015dc66,BBQ Bacon Whopper Jr.,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/5da9af503c7c0113a310fc466b36135dc1584c8d-1333x1333.png,290.257,14.352,5.5,0,42.5,434.137,26.745,1.652,5.18,17.75,False
64b5008e-646d-47f0-8d3b-6ab860a48670,Triple Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/09c8dac9db5fc5497a13bbf38dd03e089a64a8fa-1333x1333.png,985.215,60.705,24,1.35,220,713.475,48.92,1.975,8.63,71.5,False
